,playerID,nameFirst,nameLast,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,BA,TOTB,SLG,OBP,OPS,RBI/AB,HR/G,R/G,BABIP,Cluster,Total
35212,tejadmi01,Miguel,Tejada,2005,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,10
19001,colavro01,Rocky,Colavito,1959,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,2,10
34408,sweenmi01,Mike,Sweeney,2002,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,10
28322,mcgeewi01,Willie,McGee,1990,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,10
1248,glassja01,Jack,Glasscock,1884,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,10
11404,bottoji01,Jim,Bottomley,1929,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,2,10
9166,burnsge01,George,Burns,1914,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,10
25,ansonca01,Cap,Anson,1880,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,2,10
12664,cronijo01,Joe,Cronin,1938,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,2,10
9167,burnsge02,George,Burns,1914,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,10
36708,penaca01,Carlos,Pena,2009,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,2,10
18721,clemero01,Roberto,Clemente,1965,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,10
293,startjo01,Joe,Start,1878,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,2,10
36566,cuddymi01,Michael,Cuddyer,2013,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,2,10
12665,cronijo01,Joe,Cronin,1939,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,2,10
34138,jeterde01,Derek,Jeter,2005,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,10
12445,engliwo01,Woody,English,1930,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,10
19347,robinbr01,Brooks,Robinson,1967,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,10
9722,roushed01,Edd,Roush,1917,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,2,10
23948,fergujo01,Joe,Ferguson,1973,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,2,10
12913,averiea02,Earl,Averill,1938,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,2,10
